Red_Hot,Whiskey_Bridge,Banks,Seymour,modern_DE
9.74,,12.71,16.50,
11.24,,12.75,16.50,
14.58,,12.75,16.50,
9.15,,12.75,16.50,
13.40,,12.79,17.00,
9.63,,12.80,17.00,
10.21,,12.84,17.00,
8.56,,12.86,17.00,
10.18,,12.88,17.00,
8.25,,12.89,17.00,
8.86,,12.92,17.00,
14.60,,12.96,17.00,
18.17,,13.03,17.00,
12.05,,13.06,17.00,
17.72,,13.10,17.00,
17.08,,13.12,17.10,
19.50,,13.13,17.50,
11.49,,13.21,17.50,
10.57,,13.24,17.50,
11.92,,13.26,17.89,
16.26,,13.28,18.00,
13.98,,13.33,18.00,
8.52,,13.40,18.00,
8.99,,13.43,18.00,
20.02,,13.51,18.00,
12.21,,13.64,18.00,
9.70,,13.73,18.00,
15.43,,13.74,18.00,
7.25,,13.74,18.00,
16.07,,13.79,18.00,
12.03,,13.80,18.00,
11.77,,13.80,18.00,
9.95,,13.88,18.00,
11.29,,13.98,18.00,
9.72,,14.02,18.00,
9.24,,14.10,18.50,
14.57,,14.11,18.50,
6.08,,14.14,18.50,
11.23,,14.14,18.50,
9.52,,14.15,18.50,
9.63,,14.16,18.50,
10.31,,14.17,18.50,
14.99,,14.19,18.50,
12.01,,14.20,18.50,
13.44,,14.21,18.50,
15.22,,14.23,19.00,
5.91,,14.23,19.00,
15.39,,14.25,19.00,
10.97,,14.26,19.00,
13.16,,14.28,19.00,
13.72,,14.31,19.00,
16.50,,14.34,19.00,
5.14,,14.37,19.00,
6.42,,14.43,19.00,
9.98,,14.47,19.50,
10.90,,14.48,19.50,
10.59,,14.48,19.50,
12.09,,14.50,19.50,
11.00,,14.51,19.58,
10.48,,14.52,20.00,
12.10,,14.53,20.00,
9.88,,14.55,20.00,
12.35,,14.57,20.00,
13.56,,14.60,20.00,
9.20,,14.61,20.00,
15.77,,14.64,20.50,
16.41,,14.71,20.50,
16.20,,14.73,20.50,
12.03,,14.75,20.50,
18.94,,14.80,20.50,
13.28,,14.81,20.50,
11.57,,14.85,20.50,
12.79,,14.86,21.00,
10.64,,14.87,21.00,
15.01,,14.96,21.00,
11.28,,14.97,21.00,
12.94,,14.99,21.00,
9.40,,15.06,21.00,
6.69,,15.08,21.00,
14.03,,15.10,21.35,
14.82,,15.12,21.50,
12.14,,15.13,21.50,
8.96,,15.19,21.50,
10.75,,15.22,21.50,
15.05,,15.28,22.00,
15.05,,15.29,22.00,
9.67,,15.31,22.00,
13.00,,15.45,22.00,
11.74,,15.45,22.00,
9.21,,15.46,22.12,
14.11,,15.48,22.30,
9.01,,15.56,22.50,
17.96,,15.56,22.50,
14.22,,15.60,22.50,
14.69,,15.60,22.85,
15.79,,15.61,23.00,
9.31,,15.64,23.50,
18.15,,15.67,23.50,
9.91,,15.70,23.50,
14.47,,15.73,23.50,
12.09,,15.74,23.71,
8.75,,15.76,24.00,
7.50,,15.78,24.00,
6.89,,15.80,24.50,
13.40,,15.82,24.50,
15.94,,15.83,24.50,
13.63,,15.90,24.50,
9.24,,15.91,24.50,
10.56,,15.94,25.00,
17.12,,16.00,25.00,
12.81,,16.03,25.00,
12.36,,16.04,25.00,
9.59,,16.05,25.00,
9.81,,16.13,25.00,
9.92,,16.19,25.00,
12.58,,16.20,25.00,
10.03,,16.21,25.00,
11.30,,16.28,25.00,
8.32,,16.30,25.50,
9.81,,16.32,26.00,
5.36,,16.36,26.00,
,,16.37,26.00,
,,16.38,26.00,
,,16.40,26.00,
,,16.43,26.50,
