Bashi_Tusc,StoneCity_all,Banks,Antarctica,modern_DE
7.5,,15.78,24,
6.89,,15.8,24.5,
13.4,,15.82,24.5,
15.94,,15.83,24.5,
13.63,,15.9,24.5,
9.24,,15.91,24.5,
10.56,,15.94,25,
17.12,,16,25,
12.81,,16.03,25,
12.36,,16.04,25,
9.59,,16.05,25,
9.81,,16.13,25,
9.92,,16.19,25,
12.58,,16.2,25,
10.03,,16.21,25,
11.3,,16.28,25,
8.32,,16.3,25.5,
9.81,,16.32,26,
5.36,,16.36,26,
,,16.37,26,
,,16.38,26,
,,16.4,26,
,,16.43,26.5,
,,16.45,26.5,
,,16.47,27,
,,16.47,27,
,,16.49,27,
,,16.5,27,
,,16.51,27,
,,16.59,27,
,,16.6,27,
,,16.62,27.5,
,,16.71,27.62,
,,16.72,28,
,,16.75,28,
,,16.79,28,
,,16.81,28,
,,16.81,28.3,
,,16.81,28.5,
,,16.83,28.5,
,,16.88,28.5,
,,16.88,28.5,
,,16.89,28.5,
,,16.91,28.5,
,,16.91,28.5,
,,16.93,28.5,
,,16.94,28.5,
,,16.97,29,
,,16.98,29,
,,16.98,29,
,,17.02,29,
,,17.09,29,
,,17.1,29.5,
,,17.12,30,
,,17.2,30,
,,17.23,31,
,,17.25,31,
,,17.26,31,
,,17.31,31.5,
,,17.31,32,
,,17.33,32,
,,17.36,32,
,,17.36,32.22,
,,17.37,32.5,
,,17.38,33.5,
,,17.45,34,
,,17.51,34.5,
,,17.53,36,
,,17.56,36.5,
,,17.6,36.5,
,,17.61,37,
,,17.65,37,
,,17.72,38,
,,17.81,38.5,
,,17.83,39.5,
,,17.87,41,
,,17.9,11,
,,17.9,11,
,,17.91,11.44,
,,17.94,11.54,
,,17.94,11.59,
,,17.95,11.87,
,,17.95,11.94,
,,17.97,12.08,
,,17.99,12.38,
,,18.03,12.49,
,,18.05,12.5,
,,18.05,12.5,
,,18.06,12.55,
,,18.09,12.64,
,,18.12,12.66,
,,18.13,12.78,
,,18.14,12.93,
,,18.16,13,
,,18.24,13.05,
,,18.24,13.31,
,,18.27,13.31,
,,18.28,13.47,
,,18.34,13.5,
,,18.35,14,
,,18.36,14,
,,18.36,14.08,
,,18.37,14.4,
,,18.44,14.5,
,,18.46,14.51,
,,18.49,14.67,
,,18.53,14.97,
,,18.58,14.97,
,,18.6,14.99,
,,18.64,15,
,,18.76,15,
,,18.82,15.44,
,,18.88,15.5,
,,18.89,15.5,
,,18.93,15.5,
,,18.94,15.5,
,,18.96,15.51,
,,19.02,15.65,
,,19.04,15.68,
,,19.04,16,
,,19.08,16,
,,19.12,16,
,,19.12,16.03,
,,19.26,16.42,
,,19.32,16.5,
,,19.35,16.72,
,,19.51,17,
,,19.55,17,
,,19.75,17.12,
,,19.77,17.15,
,,19.79,17.25,
,,20.54,17.47,
,,,17.5,
,,,18,
,,,18,
,,,18,
,,,18.5,
,,,18.5,
,,,18.54,
,,,18.64,
,,,19,
,,,19,
,,,19,
,,,19,
,,,19,
,,,19,
,,,19,
,,,19.12,
,,,19.77,
,,,19.89,
,,,20,
,,,20,
,,,20,
,,,20,
,,,20,
,,,20,
,,,20.19,
,,,20.5,
,,,21,
,,,21,
,,,21.83,
,,,22,
,,,22,
,,,22.83,
,,,23,
,,,23,
,,,23,
,,,23,
,,,23.02,
,,,23.57,
,,,24.5,
,,,24.94,
,,,25,
,,,25,
,,,26,
,,,26,
,,,27.25,
,,,27.5,
,,,28,
,,,28.62,
,,,30,
,,,30.5,
,,,35.52,
,,,36,
,,,38,
