locality,anterior_tooth_mm
Whiskey_Bridge,22.68
Whiskey_Bridge,14.65
Whiskey_Bridge,20.39
Whiskey_Bridge,16.32
Whiskey_Bridge,18.55
Whiskey_Bridge,17.89
Whiskey_Bridge,24.33
Whiskey_Bridge,23.49
Whiskey_Bridge,21.74
Whiskey_Bridge,20.02
Whiskey_Bridge,22.43
Whiskey_Bridge,19.46
Whiskey_Bridge,21.95
Whiskey_Bridge,23.09
Whiskey_Bridge,25.48
Whiskey_Bridge,22.75
Whiskey_Bridge,16.53
Whiskey_Bridge,24.48
Whiskey_Bridge,24.75
Whiskey_Bridge,19.91
Whiskey_Bridge,19.61
Whiskey_Bridge,15.91
Whiskey_Bridge,24.27
Whiskey_Bridge,19.11
Whiskey_Bridge,21.32
Whiskey_Bridge,25.28
Whiskey_Bridge,16.08
Whiskey_Bridge,16.21
Whiskey_Bridge,19.63
Whiskey_Bridge,17.88
Whiskey_Bridge,20.76
Whiskey_Bridge,22.66
Whiskey_Bridge,20.24
Whiskey_Bridge,20.24
Whiskey_Bridge,20.08
Whiskey_Bridge,22.6
Whiskey_Bridge,21.49
Whiskey_Bridge,25.96
Whiskey_Bridge,23.65
Whiskey_Bridge,19.18
Whiskey_Bridge,21.11
Whiskey_Bridge,20.58
Whiskey_Bridge,21.45
Whiskey_Bridge,17.69
Whiskey_Bridge,16.64
Whiskey_Bridge,15.64
Whiskey_Bridge,24.05
Whiskey_Bridge,23.63
Whiskey_Bridge,15.31
Whiskey_Bridge,24.05
Whiskey_Bridge,16.97
Whiskey_Bridge,20.83
Whiskey_Bridge,20.06
Whiskey_Bridge,24.44
Whiskey_Bridge,19.94
Whiskey_Bridge,17.71
Whiskey_Bridge,19.23
Whiskey_Bridge,18.02
Whiskey_Bridge,22.26
Whiskey_Bridge,23.37
Whiskey_Bridge,20.52
Whiskey_Bridge,23.65
Whiskey_Bridge,22.51
Whiskey_Bridge,16.12
Whiskey_Bridge,18.79
Whiskey_Bridge,16.33
Whiskey_Bridge,21.5
Whiskey_Bridge,18.9
Whiskey_Bridge,17.31
Whiskey_Bridge,17.17
Whiskey_Bridge,18.08
Whiskey_Bridge,18.37
Whiskey_Bridge,25.07
Whiskey_Bridge,14.7
Whiskey_Bridge,18.48
Whiskey_Bridge,16.22
Whiskey_Bridge,17.95
Whiskey_Bridge,15.38
Whiskey_Bridge,19.39
Whiskey_Bridge,10.79
Whiskey_Bridge,15.37
Whiskey_Bridge,23.69
Whiskey_Bridge,27.98
Whiskey_Bridge,28.84
Whiskey_Bridge,25.5
Whiskey_Bridge,16.6
Whiskey_Bridge,29.46
Whiskey_Bridge,29.9
Whiskey_Bridge,24.78
Whiskey_Bridge,25.6
Whiskey_Bridge,28.74
Whiskey_Bridge,20.8
Whiskey_Bridge,27.57
Whiskey_Bridge,29.66
Whiskey_Bridge,27.65
Whiskey_Bridge,28.94
Whiskey_Bridge,16.14
Whiskey_Bridge,24.21
Whiskey_Bridge,27.85
Whiskey_Bridge,20.65
Whiskey_Bridge,28.63
Whiskey_Bridge,27.42
Whiskey_Bridge,21.18
Whiskey_Bridge,31.17
Whiskey_Bridge,27.76
Whiskey_Bridge,23.52
Whiskey_Bridge,24.95
Whiskey_Bridge,28.81
Whiskey_Bridge,23.45
Whiskey_Bridge,23.79
Whiskey_Bridge,27.2
Whiskey_Bridge,24.14
Whiskey_Bridge,27.67
Whiskey_Bridge,25.44
Whiskey_Bridge,30.02
Whiskey_Bridge,25.14
Whiskey_Bridge,17.83
Whiskey_Bridge,22.84
Whiskey_Bridge,21.45
Whiskey_Bridge,32.57
Whiskey_Bridge,30.56
Whiskey_Bridge,25.71
Whiskey_Bridge,28.72
Whiskey_Bridge,17.04
Whiskey_Bridge,27.68
Whiskey_Bridge,20.24
Whiskey_Bridge,23.68
Whiskey_Bridge,31.57
Whiskey_Bridge,18.45
Whiskey_Bridge,22.59
Whiskey_Bridge,19.72
Whiskey_Bridge,29.55
Whiskey_Bridge,30.16
Whiskey_Bridge,23.26
Whiskey_Bridge,18.51
Whiskey_Bridge,23.91
Whiskey_Bridge,24.62
Whiskey_Bridge,18.79
Whiskey_Bridge,19.45
Whiskey_Bridge,30.37
Whiskey_Bridge,25.82
Whiskey_Bridge,26.64
Whiskey_Bridge,25
Whiskey_Bridge,29.19
Whiskey_Bridge,29.7
Whiskey_Bridge,30.32
Whiskey_Bridge,26.74
Whiskey_Bridge,31.65
Whiskey_Bridge,27.72
Whiskey_Bridge,25.88
Whiskey_Bridge,27.17
Whiskey_Bridge,16.04
Whiskey_Bridge,28.46
Whiskey_Bridge,28.32
Banks,5.4
Banks,5.78
Banks,6.83
Banks,7
Banks,7.29
Banks,7.34
Banks,7.39
Banks,7.47
Banks,7.57
Banks,7.59
Banks,7.6
Banks,7.69
Banks,7.74
Banks,8.04
Banks,8.13
Banks,8.15
Banks,8.21
Banks,8.24
Banks,8.25
Banks,8.3
Banks,8.36
Banks,8.38
Banks,8.51
Banks,8.55
Banks,8.61
Banks,8.62
Banks,8.62
Banks,8.64
Banks,8.68
Banks,8.69
Banks,8.69
Banks,8.7
Banks,8.72
Banks,8.78
Banks,8.82
Banks,8.85
Banks,8.86
Banks,8.86
Banks,8.87
Banks,8.99
Banks,9.02
Banks,9.02
Banks,9.2
Banks,9.35
Banks,9.36
Banks,9.37
Banks,9.39
Banks,9.4
Banks,9.46
Banks,9.5
Banks,9.51
Banks,9.6
Banks,9.63
Banks,9.7
Banks,9.7
Banks,9.73
Banks,9.74
Banks,9.74
Banks,9.77
Banks,9.81
Banks,9.82
Banks,9.85
Banks,9.91
Banks,9.99
Banks,10.02
Banks,10.02
Banks,10.05
Banks,10.06
Banks,10.07
Banks,10.08
Banks,10.1
Banks,10.11
Banks,10.13
Banks,10.15
Banks,10.15
Banks,10.18
Banks,10.2
Banks,10.21
Banks,10.27
Banks,10.3
Banks,10.3
Banks,10.3
Banks,10.31
Banks,10.36
Banks,10.38
Banks,10.45
Banks,10.48
Banks,10.51
Banks,10.53
Banks,10.57
Banks,10.62
Banks,10.63
Banks,10.64
Banks,10.66
Banks,10.69
Banks,10.73
Banks,10.77
Banks,10.78
Banks,10.78
Banks,10.81
Banks,10.82
Banks,10.83
Banks,10.83
Banks,10.93
Banks,10.95
Banks,10.98
Banks,11
Banks,11.04
Banks,11.06
Banks,11.09
Banks,11.09
Banks,11.1
Banks,11.13
Banks,11.14
Banks,11.21
Banks,11.23
Banks,11.26
Banks,11.26
Banks,11.27
Banks,11.28
Banks,11.35
Banks,11.36
Banks,11.44
Banks,11.45
Banks,11.48
Banks,11.51
Banks,11.52
Banks,11.54
Banks,11.59
Banks,11.6
Banks,11.64
Banks,11.65
Banks,11.67
Banks,11.69
Banks,11.71
Banks,11.8
Banks,11.8
Banks,11.8
Banks,11.84
Banks,11.85
Banks,11.88
Banks,11.9
Banks,12.06
Banks,12.09
Banks,12.17
Banks,12.21
Banks,12.24
Banks,12.26
Banks,12.3
Banks,12.32
Banks,12.35
Banks,12.36
Banks,12.37
Banks,12.45
Banks,12.46
Banks,12.46
